type,GEOID,racial_majority,month,filings_2020,filings_avg,last_updated
Zip Code,23120,White,21-Apr,1,1,4/8/2023
Zip Code,23120,White,21-May,2,0.25,4/8/2023
Zip Code,23120,White,21-Jun,0,0.5,4/8/2023
Zip Code,23120,White,21-Jul,1,0.75,4/8/2023
Zip Code,23120,White,21-Aug,0,0.5,4/8/2023
Zip Code,23120,White,21-Sep,0,0.25,4/8/2023
Zip Code,23120,White,21-Oct,0,0.5,4/8/2023
Zip Code,23120,White,21-Nov,1,1,4/8/2023
Zip Code,23120,White,21-Dec,0,0.25,4/8/2023
Zip Code,23120,White,22-Jan,0,0.5,4/8/2023
Zip Code,23120,White,22-Feb,0,1,4/8/2023
Zip Code,23120,White,22-Mar,2,0.25,4/8/2023
Zip Code,23120,White,22-Apr,1,1,4/8/2023
Zip Code,23120,White,22-May,1,0.25,4/8/2023
Zip Code,23120,White,22-Jun,0,0.5,4/8/2023
Zip Code,23120,White,22-Jul,0,0.75,4/8/2023
Zip Code,23120,White,22-Aug,1,0.5,4/8/2023
Zip Code,23120,White,22-Sep,14,0.25,4/8/2023
Zip Code,23120,White,22-Oct,8,0.5,4/8/2023
Zip Code,23120,White,22-Nov,3,1,4/8/2023
Zip Code,23120,White,22-Dec,7,0.25,4/8/2023
Zip Code,23120,White,23-Jan,11,0.5,4/8/2023
Zip Code,23120,White,23-Feb,7,1,4/8/2023
Zip Code,23120,White,23-Mar,5,0.25,4/8/2023
Zip Code,23120,White,23-Apr,0,0.25,4/8/2023
Zip Code,23218,Other,20-Jan,0,0,4/8/2023
Zip Code,23218,Other,20-Feb,0,0,4/8/2023
Zip Code,23218,Other,20-Mar,0,0,4/8/2023
Zip Code,23218,Other,20-Apr,0,0,4/8/2023
Zip Code,23218,Other,20-May,0,0,4/8/2023
Zip Code,23218,Other,20-Jun,0,0,4/8/2023
Zip Code,23218,Other,20-Jul,0,0,4/8/2023
Zip Code,23218,Other,20-Aug,0,0,4/8/2023
Zip Code,23218,Other,20-Sep,0,0,4/8/2023
Zip Code,23218,Other,20-Oct,0,0,4/8/2023
Zip Code,23218,Other,20-Nov,0,0,4/8/2023
Zip Code,23218,Other,20-Dec,0,0,4/8/2023
Zip Code,23218,Other,21-Jan,0,0,4/8/2023
Zip Code,23218,Other,21-Feb,0,0,4/8/2023
Zip Code,23218,Other,21-Mar,0,0,4/8/2023
Zip Code,23218,Other,21-Apr,0,0,4/8/2023
Zip Code,23218,Other,21-May,0,0,4/8/2023
Zip Code,23218,Other,21-Jun,0,0,4/8/2023
Zip Code,23218,Other,21-Jul,0,0,4/8/2023
Zip Code,23218,Other,21-Aug,0,0,4/8/2023
Zip Code,23218,Other,21-Sep,0,0,4/8/2023
Zip Code,23218,Other,21-Oct,0,0,4/8/2023
Zip Code,23218,Other,21-Nov,0,0,4/8/2023
Zip Code,23218,Other,21-Dec,0,0,4/8/2023
Zip Code,23218,Other,22-Jan,0,0,4/8/2023
Zip Code,23218,Other,22-Feb,0,0,4/8/2023
Zip Code,23218,Other,22-Mar,0,0,4/8/2023
Zip Code,23218,Other,22-Apr,0,0,4/8/2023
Zip Code,23218,Other,22-May,0,0,4/8/2023
Zip Code,23218,Other,22-Jun,0,0,4/8/2023
Zip Code,23218,Other,22-Jul,0,0,4/8/2023
